Pid,Pair,Sem_Sim,Aud_Sim
660,"distant voice,distant thunder",1.87,1.21
661,"distant voice,distant traffic",1.47,1.43
662,"distant voice,distant train",1.27,1.14
663,"electrical blip,electrical buzz",2.40,2.07
664,"electrical blip,electrical click",2.87,2.60
665,"electrical blip,electrical drill",1.13,1.40
666,"electrical blip,electrical engine",1.27,1.33
667,"electrical blip,electrical fan",1.13,1.27
668,"electrical blip,electrical fuzz",1.80,1.60
669,"electrical blip,electrical glitch",3.93,3.36
670,"electrical blip,electrical hum",2.53,1.87
671,"electrical blip,electrical machine",1.67,1.60
672,"electrical blip,electrical noise",3.00,2.87
673,"electrical blip,electrical razor",1.13,1.40
674,"electrical blip,electrical spark",1.87,2.07
675,"electrical blip,electrical switch",1.80,1.93
676,"electrical blip,electrical tool",1.40,1.40
677,"electrical blip,electrical train",1.07,1.33
678,"electrical blip,electrical window",1.13,1.20
679,"electrical buzz,electrical hum",4.47,4.13
680,"electrical buzz,electrical machine",1.93,2.27
681,"electrical buzz,electrical noise",4.53,4.20
682,"electrical buzz,electrical tool",1.80,1.73
683,"electrical click,electrical buzz",2.53,2.14
684,"electrical click,electrical engine",1.40,1.20
685,"electrical click,electrical fan",1.67,1.86
686,"electrical click,electrical fuzz",2.33,2.00
687,"electrical click,electrical hum",2.60,2.21
688,"electrical click,electrical machine",1.67,1.71
689,"electrical click,electrical noise",3.40,3.36
690,"electrical click,electrical spark",2.73,2.50
691,"electrical click,electrical switch",2.80,3.29
692,"electrical click,electrical tool",1.60,1.64
693,"electrical click,electrical train",1.27,1.50
694,"electrical drill,electrical buzz",1.87,2.47
695,"electrical drill,electrical click",1.60,1.80
696,"electrical drill,electrical engine",2.87,2.73
697,"electrical drill,electrical fan",2.33,2.00
698,"electrical drill,electrical fuzz",1.27,1.87
699,"electrical drill,electrical hum",1.87,2.07
700,"electrical drill,electrical machine",3.67,3.00
701,"electrical drill,electrical noise",1.80,2.80
702,"electrical drill,electrical spark",1.53,1.47
703,"electrical drill,electrical switch",1.80,1.40
704,"electrical drill,electrical tool",4.40,4.07
705,"electrical drill,electrical train",1.67,1.53
706,"electrical engine,electrical buzz",1.40,2.13
707,"electrical engine,electrical fan",2.47,2.20
708,"electrical engine,electrical fuzz",1.20,2.07
709,"electrical engine,electrical hum",1.73,2.33
710,"electrical engine,electrical machine",4.27,4.47
711,"electrical engine,electrical noise",1.60,2.87
712,"electrical engine,electrical spark",2.07,1.93
713,"electrical engine,electrical switch",1.73,1.73
714,"electrical engine,electrical tool",2.47,2.07
715,"electrical engine,electrical train",3.27,2.47
716,"electrical fan,electrical buzz",1.87,2.20
717,"electrical fan,electrical fan",5.00,5.00
718,"electrical fan,electrical hum",2.20,2.27
719,"electrical fan,electrical machine",3.60,3.00
720,"electrical fan,electrical noise",2.07,2.33
721,"electrical fan,electrical switch",2.20,1.93
722,"electrical fan,electrical tool",2.67,2.13
723,"electrical fuzz,electrical buzz",3.07,3.40
724,"electrical fuzz,electrical fan",1.60,1.73
725,"electrical fuzz,electrical hum",3.20,2.87
726,"electrical fuzz,electrical machine",1.60,1.73
727,"electrical fuzz,electrical noise",2.80,3.20
728,"electrical fuzz,electrical spark",2.00,2.00
729,"electrical fuzz,electrical switch",1.53,1.47
730,"electrical fuzz,electrical tool",1.27,1.53
731,"electrical fuzz,electrical train",1.33,1.33
732,"electrical glitch,electrical buzz",2.20,2.08
733,"electrical glitch,electrical click",1.87,2.07
734,"electrical glitch,electrical drill",1.33,1.27
735,"electrical glitch,electrical engine",1.33,1.20
736,"electrical glitch,electrical fan",1.33,1.15
737,"electrical glitch,electrical fuzz",2.00,1.62
738,"electrical glitch,electrical hum",2.00,1.85
739,"electrical glitch,electrical machine",1.67,1.23
740,"electrical glitch,electrical noise",2.27,2.46
741,"electrical glitch,electrical razor",1.40,1.27
742,"electrical glitch,electrical spark",2.53,2.62
743,"electrical glitch,electrical switch",1.67,1.54
744,"electrical glitch,electrical tool",1.20,1.08
745,"electrical glitch,electrical train",1.27,1.08
746,"electrical glitch,electrical window",1.40,1.27
747,"electrical guitar,electrical piano",2.13,1.80
748,"electrical hum,electrical tool",1.73,2.40
749,"electrical machine,electrical hum",1.80,2.67
750,"electrical machine,electrical tool",3.07,3.13
751,"electrical noise,electrical hum",4.27,4.07
752,"electrical noise,electrical machine",1.93,2.67
753,"electrical noise,electrical noise",5.00,5.00
754,"electrical noise,electrical tool",1.33,2.33
755,"electrical razor,electrical buzz",2.13,2.07
756,"electrical razor,electrical click",1.47,1.40
757,"electrical razor,electrical drill",2.40,1.93
758,"electrical razor,electrical engine",1.87,1.93
759,"electrical razor,electrical fan",2.07,1.73
760,"electrical razor,electrical fuzz",1.40,1.47
761,"electrical razor,electrical hum",1.93,2.53
762,"electrical razor,electrical machine",2.60,2.60
763,"electrical razor,electrical noise",1.47,2.33
764,"electrical razor,electrical spark",1.40,1.27
765,"electrical razor,electrical switch",1.80,1.60
766,"electrical razor,electrical tool",3.60,3.20
767,"electrical razor,electrical train",1.67,1.47
768,"electrical razor,electrical window",1.67,1.33
769,"electrical spark,electrical buzz",3.07,2.54
770,"electrical spark,electrical fan",1.60,1.38
771,"electrical spark,electrical hum",2.27,1.77
772,"electrical spark,electrical machine",1.87,1.77
773,"electrical spark,electrical noise",2.53,2.38
774,"electrical spark,electrical spark",5.00,5.00
775,"electrical spark,electrical switch",2.20,2.00
776,"electrical spark,electrical tool",1.40,1.38
777,"electrical spark,electrical train",1.40,1.47
778,"electrical switch,electrical buzz",1.93,1.93
779,"electrical switch,electrical hum",1.73,2.00
780,"electrical switch,electrical machine",2.73,2.00
781,"electrical switch,electrical noise",1.73,2.13
782,"electrical switch,electrical tool",2.27,1.73
783,"electrical train,electrical buzz",1.53,1.38
784,"electrical train,electrical fan",1.73,1.46
785,"electrical train,electrical hum",1.40,1.87
786,"electrical train,electrical machine",3.47,3.47
787,"electrical train,electrical noise",1.53,1.93
788,"electrical train,electrical switch",1.80,1.54
789,"electrical train,electrical tool",1.93,1.80
790,"electrical train,electrical train",5.00,5.00
791,"electrical window,electrical buzz",1.13,1.60
792,"electrical window,electrical click",1.20,1.33
793,"electrical window,electrical drill",1.33,1.40
794,"electrical window,electrical engine",1.40,1.60
795,"electrical window,electrical fan",1.73,2.07
796,"electrical window,electrical fuzz",1.13,1.33
797,"electrical window,electrical hum",1.07,1.73
798,"electrical window,electrical machine",1.53,2.00
799,"electrical window,electrical noise",1.13,1.73
800,"electrical window,electrical spark",1.13,1.33
801,"electrical window,electrical switch",1.47,2.00
802,"electrical window,electrical tool",1.40,1.67
803,"electrical window,electrical train",1.33,1.33
804,"electronic alarm,electronic popping",1.87,1.57
805,"electronic bass,electronic chord",2.73,2.33
806,"electronic bass,electronic drum",2.93,2.47
807,"electronic bass,electronic melody",2.40,2.40
808,"electronic bass,electronic rhythm",2.87,2.60
809,"electronic bass,electronic tune",3.00,2.33
810,"electronic buzz,electronic alarm",3.47,3.29
811,"electronic buzz,electronic popping",2.67,1.79
812,"electronic buzz,electronic robot",1.60,1.64
813,"electronic chord,electronic rhythm",2.93,2.47
814,"electronic chord,electronic tune",3.40,3.40
815,"electronic circuit,electronic alarm",1.73,1.47
816,"electronic circuit,electronic buzz",2.00,2.00
817,"electronic circuit,electronic clap",1.47,1.38
818,"electronic circuit,electronic drone",1.53,1.62
819,"electronic circuit,electronic glitch",1.80,2.23
820,"electronic circuit,electronic noise",1.47,1.85
821,"electronic circuit,electronic phone",1.47,1.69
822,"electronic circuit,electronic popping",1.67,1.60
823,"electronic circuit,electronic robot",2.27,1.80
824,"electronic circuit,electronic wave",1.73,1.62
825,"electronic clap,electronic alarm",1.93,1.33
826,"electronic clap,electronic buzz",2.07,1.47
827,"electronic clap,electronic phone",1.20,1.20
828,"electronic clap,electronic popping",2.73,2.20
829,"electronic clap,electronic robot",1.27,1.13
830,"electronic drone,electronic alarm",1.60,1.40
831,"electronic drone,electronic buzz",2.27,2.73
832,"electronic drone,electronic clap",1.67,1.27
833,"electronic drone,electronic noise",2.00,2.53
834,"electronic drone,electronic phone",1.60,1.60
835,"electronic drone,electronic popping",1.27,1.73
836,"electronic drone,electronic robot",2.87,2.73
837,"electronic drone,electronic wave",1.73,1.47
838,"electronic drum,electronic chord",1.80,1.53
839,"electronic drum,electronic melody",1.87,1.67
840,"electronic drum,electronic rhythm",3.53,3.40
841,"electronic drum,electronic tune",2.47,2.07
842,"electronic frequency,electronic bass",2.40,1.73
843,"electronic frequency,electronic chord",2.73,2.27
844,"electronic frequency,electronic drum",2.07,1.47
845,"electronic frequency,electronic melody",2.60,1.73
846,"electronic frequency,electronic rhythm",3.33,2.33
847,"electronic frequency,electronic tune",2.93,2.33
848,"electronic glitch,electronic alarm",1.87,1.67
849,"electronic glitch,electronic buzz",2.27,1.73
850,"electronic glitch,electronic clap",1.73,1.33
851,"electronic glitch,electronic drone",1.60,1.40
852,"electronic glitch,electronic noise",2.00,1.73
853,"electronic glitch,electronic phone",1.47,1.13
854,"electronic glitch,electronic popping",2.07,2.20
855,"electronic glitch,electronic robot",1.67,1.53
856,"electronic glitch,electronic wave",1.73,1.20
857,"electronic melody,electronic chord",3.33,2.93
858,"electronic melody,electronic rhythm",3.27,3.13
859,"electronic melody,electronic tune",4.20,4.40
860,"electronic noise,electronic alarm",3.53,2.87
861,"electronic noise,electronic buzz",4.20,3.67
862,"electronic noise,electronic clap",2.87,2.87
863,"electronic noise,electronic phone",1.53,2.00
864,"electronic noise,electronic popping",2.73,2.33
865,"electronic noise,electronic robot",1.33,1.73
866,"electronic phone,electronic alarm",2.67,2.07
867,"electronic phone,electronic buzz",1.67,1.87
868,"electronic phone,electronic popping",1.53,1.43
869,"electronic phone,electronic robot",2.13,1.64
870,"electronic robot,electronic alarm",2.07,1.57
871,"electronic robot,electronic popping",1.27,1.43
872,"electronic tune,electronic rhythm",3.13,3.00
873,"electronic wave,electronic alarm",1.47,1.40
874,"electronic wave,electronic buzz",1.87,1.80
875,"electronic wave,electronic clap",1.80,1.67
876,"electronic wave,electronic noise",1.93,1.87
877,"electronic wave,electronic phone",1.33,1.40
878,"electronic wave,electronic popping",1.60,1.33
879,"electronic wave,electronic robot",1.20,1.40
880,"fast audio,fast engine",1.40,1.80
881,"fast audio,fast noise",3.73,4.00
882,"fast audio,fast race",1.40,1.27
883,"fast audio,fast run",1.40,1.20
884,"fast bass,fast drumstick",2.13,2.00
885,"fast bass,fast synth",2.07,1.73
886,"fast beat,fast bass",3.00,2.73
887,"fast beat,fast drum",3.80,4.13
888,"fast beat,fast drumstick",2.60,3.13
889,"fast beat,fast synth",2.53,1.93
890,"fast car,fast audio",1.20,1.80
891,"fast car,fast car",5.00,5.00
892,"fast car,fast engine",3.80,3.93
893,"fast car,fast food",1.14,1.13
894,"fast car,fast footstep",1.60,1.47
895,"fast car,fast machine",3.67,3.47
896,"fast car,fast noise",1.73,2.47
897,"fast car,fast race",2.73,3.27
898,"fast car,fast run",2.00,1.93
899,"fast car,fast speed",3.80,3.36
900,"fast car,fast typing",1.20,1.20
901,"fast car,fast water",1.13,1.29
902,"fast drum,fast bass",2.60,2.47
903,"fast drum,fast drumstick",3.33,4.33
904,"fast drum,fast synth",2.13,1.80
905,"fast engine,fast run",1.73,1.80
906,"fast footstep,fast audio",1.33,1.40
907,"fast footstep,fast engine",1.53,1.33
908,"fast footstep,fast machine",1.27,1.13
909,"fast footstep,fast noise",1.80,2.13
910,"fast footstep,fast race",2.80,3.53
911,"fast footstep,fast run",3.80,3.53
912,"fast footstep,fast typing",1.53,1.53
913,"fast machine,fast audio",1.80,1.40
914,"fast machine,fast engine",4.13,4.07
915,"fast machine,fast noise",1.47,1.87
916,"fast machine,fast race",1.60,1.27
917,"fast machine,fast run",1.53,1.33
918,"fast noise,fast engine",1.93,2.60
919,"fast noise,fast run",1.40,1.53
920,"fast race,fast engine",2.53,2.20
921,"fast race,fast noise",1.53,1.33
922,"fast race,fast run",3.67,3.93
923,"fast running,fast audio",1.13,1.21
924,"fast running,fast car",2.20,1.80
925,"fast running,fast engine",2.20,2.00
926,"fast running,fast footstep",4.47,4.50
927,"fast running,fast machine",1.33,1.64
928,"fast running,fast noise",1.60,1.86
929,"fast running,fast race",4.33,4.29
930,"fast running,fast run",4.87,4.86
931,"fast running,fast running",5.00,5.00
932,"fast running,fast speed",3.47,2.93
933,"fast running,fast typing",1.87,1.57
934,"fast running,fast water",1.73,1.73
935,"fast speed,fast audio",1.67,1.53
936,"fast speed,fast engine",2.47,2.47
937,"fast speed,fast footstep",2.00,2.13
938,"fast speed,fast machine",1.87,1.87
939,"fast speed,fast noise",1.60,1.53
940,"fast speed,fast race",3.40,3.73
941,"fast speed,fast run",3.20,3.40
942,"fast speed,fast speed",5.00,5.00
943,"fast speed,fast typing",2.07,1.87
944,"fast speed,fast water",1.27,1.60
945,"fast synth,fast drumstick",1.93,1.53
946,"fast synth,fast synth",5.00,4.73
947,"fast synth,high bass",2.07,1.73
948,"fast typing,fast audio",1.67,1.40
949,"fast typing,fast engine",1.60,1.33
950,"fast typing,fast machine",2.20,1.87
951,"fast typing,fast noise",1.73,1.60
952,"fast typing,fast race",1.47,1.33
953,"fast typing,fast run",1.53,1.27
954,"fast vacuum,fast audio",1.27,1.40
955,"fast vacuum,fast car",1.80,1.60
956,"fast vacuum,fast engine",2.53,2.53
957,"fast vacuum,fast footstep",1.07,1.33
958,"fast vacuum,fast machine",3.47,3.07
959,"fast vacuum,fast noise",1.60,2.20
960,"fast vacuum,fast race",1.13,1.33
961,"fast vacuum,fast run",1.47,1.20
962,"fast vacuum,fast running",1.33,1.53
963,"fast vacuum,fast speed",1.47,1.80
964,"fast vacuum,fast typing",1.20,1.33
965,"fast vacuum,fast vacuum",5.00,5.00
966,"fast vacuum,fast water",1.13,1.27
967,"fast water,fast audio",1.13,1.07
968,"fast water,fast engine",1.27,1.13
969,"fast water,fast footstep",1.13,1.27
970,"fast water,fast machine",1.20,1.20
971,"fast water,fast noise",1.47,1.80
972,"fast water,fast race",1.40,1.33
973,"fast water,fast run",1.47,1.47
974,"fast water,fast typing",1.13,1.13
975,"female breathing,female crowd",1.21,1.27
976,"female breathing,female crying",2.71,1.80
977,"female breathing,female gasp",3.50,3.20
978,"female breathing,female giggle",2.50,1.93
979,"female breathing,female laugh",2.47,1.80
980,"female breathing,female laughter",2.57,1.80
981,"female breathing,female robot",1.07,1.20
982,"female breathing,female screaming",2.57,1.53
983,"female breathing,female shout",2.57,1.53
984,"female breathing,female sigh",3.33,3.33
985,"female breathing,female speech",2.60,1.67
986,"female breathing,female vocal",2.67,1.80
987,"female breathing,female voice",2.33,1.80
988,"female breathing,female whisper",2.60,2.67
989,"female breathing,female whispering",2.87,2.53
990,"female crowd,female crowd",4.73,5.00
991,"female crowd,female gasp",1.13,1.27
992,"female crowd,female laugh",1.73,1.73
993,"female crowd,female laughter",1.27,1.27
994,"female crowd,female robot",1.00,1.07
995,"female crowd,female sigh",1.60,1.60
996,"female crowd,female speech",1.93,2.00
997,"female crowd,female vocal",1.80,2.07
998,"female crowd,female voice",1.73,2.07
999,"female crowd,female whisper",1.53,1.73
1000,"female crowd,female whispering",1.47,1.67
1001,"female crying,female crowd",1.27,1.27
1002,"female crying,female gasp",2.87,2.07
1003,"female crying,female giggle",2.53,2.13
1004,"female crying,female laugh",2.67,1.87
1005,"female crying,female laughter",2.87,1.93
1006,"female crying,female robot",1.07,1.13
1007,"female crying,female sigh",2.80,2.40
1008,"female crying,female speech",2.53,2.00
1009,"female crying,female vocal",3.67,3.13
1010,"female crying,female voice",2.80,2.13
1011,"female crying,female whisper",2.53,2.00
1012,"female crying,female whispering",2.60,2.07
1013,"female gasp,female laugh",2.80,2.27
1014,"female gasp,female laughter",3.14,2.33
1015,"female gasp,female sigh",3.47,3.67
1016,"female gasp,female speech",2.93,2.13
1017,"female gasp,female vocal",2.93,2.87
1018,"female gasp,female voice",3.36,2.73
1019,"female gasp,female whisper",2.73,2.67
1020,"female gasp,female whispering",3.43,2.73
1021,"female giggle,female crowd",1.33,1.40
1022,"female giggle,female gasp",2.33,2.27
1023,"female giggle,female laugh",4.93,4.47
1024,"female giggle,female laughter",4.60,4.20
1025,"female giggle,female robot",1.00,1.20
1026,"female giggle,female sigh",2.73,2.20
1027,"female giggle,female speech",2.93,2.20
1028,"female giggle,female vocal",3.67,3.07
1029,"female giggle,female voice",3.20,2.73
1030,"female giggle,female whisper",2.73,2.13
1031,"female giggle,female whispering",2.87,2.20
1032,"female grunt,female breathing",2.60,2.13
1033,"female grunt,female crowd",1.60,1.53
1034,"female grunt,female crying",3.07,2.27
1035,"female grunt,female gasp",3.53,2.67
1036,"female grunt,female giggle",2.73,2.13
1037,"female grunt,female laugh",2.80,2.20
1038,"female grunt,female laughter",2.80,1.93
1039,"female grunt,female moan",3.93,3.07
1040,"female grunt,female robot",1.13,1.20
1041,"female grunt,female scream",3.20,2.73
1042,"female grunt,female screaming",3.13,2.47
1043,"female grunt,female shout",3.07,2.80
1044,"female grunt,female sigh",3.20,2.73
1045,"female grunt,female speech",2.93,2.07
1046,"female grunt,female vocal",3.20,2.80
1047,"female grunt,female voice",3.07,2.33
1048,"female grunt,female whisper",2.73,1.87
1049,"female grunt,female whispering",2.73,1.73
1050,"female laugh,female whisper",2.87,2.13
1051,"female laughter,female laugh",5.00,4.93
1052,"female laughter,female sigh",2.53,2.13
1053,"female laughter,female speech",3.33,2.27
1054,"female laughter,female vocal",3.93,3.07
1055,"female laughter,female voice",3.53,2.87
1056,"female laughter,female whisper",2.60,1.93
1057,"female laughter,female whispering",2.73,2.07
1058,"female moan,female breathing",2.67,2.67
1059,"female moan,female crowd",1.33,1.33
1060,"female moan,female crying",3.13,2.93
1061,"female moan,female gasp",2.93,2.93
1062,"female moan,female giggle",2.53,1.87
1063,"female moan,female laugh",2.80,2.13
1064,"female moan,female laughter",2.60,2.07
1065,"female moan,female robot",1.00,1.20
1066,"female moan,female scream",3.47,2.93
1067,"female moan,female screaming",3.13,2.67
1068,"female moan,female shout",2.73,2.73
1069,"female moan,female sigh",3.20,2.93
1070,"female moan,female speech",2.93,2.20
1071,"female moan,female vocal",3.73,3.20
1072,"female moan,female voice",3.13,2.87
1073,"female moan,female whisper",2.87,2.27
1074,"female moan,female whispering",2.93,2.60
1075,"female robot,female gasp",1.07,1.20
1076,"female robot,female laugh",1.36,1.27
1077,"female robot,female laughter",1.07,1.20
1078,"female robot,female sigh",1.29,1.13
1079,"female robot,female speech",1.43,1.73
1080,"female robot,female vocal",1.50,1.80
1081,"female robot,female voice",1.60,1.87
1082,"female robot,female whisper",1.14,1.20
1083,"female robot,female whispering",1.07,1.33
1084,"female scream,female breathing",2.20,1.80
1085,"female scream,female crowd",1.40,1.67
1086,"female scream,female crying",3.13,3.00
1087,"female scream,female gasp",3.20,2.67
1088,"female scream,female giggle",2.73,2.13
1089,"female scream,female laugh",3.00,2.20
1090,"female scream,female laughter",2.80,2.33
1091,"female scream,female robot",1.07,1.20
1092,"female scream,female screaming",4.73,4.93
1093,"female scream,female shout",4.73,4.40
1094,"female scream,female sigh",2.27,1.93
1095,"female scream,female speech",2.93,2.80
1096,"female scream,female vocal",3.60,3.53
1097,"female scream,female voice",3.40,3.13
1098,"female scream,female whisper",2.86,1.73
1099,"female scream,female whispering",2.40,1.87
1100,"female screaming,female crowd",1.47,1.53
1101,"female screaming,female crying",3.20,3.20
1102,"female screaming,female gasp",2.40,2.33
1103,"female screaming,female giggle",2.67,1.93
1104,"female screaming,female laugh",2.60,2.27
1105,"female screaming,female laughter",2.67,2.27
1106,"female screaming,female robot",1.07,1.00
1107,"female screaming,female shout",4.73,4.13
1108,"female screaming,female sigh",2.53,1.80
1109,"female screaming,female speech",3.40,2.60
1110,"female screaming,female vocal",3.87,3.73
1111,"female screaming,female voice",3.40,3.00
1112,"female screaming,female whisper",2.53,1.80
1113,"female screaming,female whispering",2.73,1.87
1114,"female shout,female crowd",1.87,1.73
1115,"female shout,female crying",3.00,2.40
1116,"female shout,female gasp",2.80,1.93
1117,"female shout,female giggle",2.67,2.07
1118,"female shout,female laugh",2.87,2.07
1119,"female shout,female laughter",2.93,2.20
1120,"female shout,female robot",1.20,1.27
1121,"female shout,female sigh",2.60,1.80
1122,"female shout,female speech",3.80,3.07
1123,"female shout,female vocal",4.07,3.87
1124,"female shout,female voice",3.33,3.67
1125,"female shout,female whisper",2.73,1.60
1126,"female shout,female whispering",2.67,1.87
1127,"female sigh,female laugh",2.80,2.33
1128,"female sigh,female sigh",4.73,5.00
1129,"female sigh,female whisper",3.93,3.13
1130,"female speech,female laugh",3.40,2.53
1131,"female speech,female sigh",2.80,2.00
1132,"female speech,female vocal",4.80,4.53
1133,"female speech,female whisper",3.67,3.00
1134,"female speech,female whispering",3.53,3.07
1135,"female vocal,female laugh",3.60,2.87
1136,"female vocal,female sigh",3.27,2.80
1137,"female vocal,female whisper",3.73,3.00
1138,"female voice,female laugh",3.20,2.67
1139,"female voice,female sigh",3.00,2.40
1140,"female voice,female speech",4.47,4.73
1141,"female voice,female vocal",4.93,4.80
1142,"female voice,female whisper",3.33,3.00
1143,"female voice,female whispering",3.60,3.00
1144,"female whispering,female laugh",3.00,2.27
1145,"female whispering,female sigh",3.40,3.20
1146,"female whispering,female vocal",4.07,3.27
1147,"female whispering,female whisper",5.00,4.87
1148,"happy  drum,happy  flute",1.71,1.17
1149,"happy baby,happy child",4.33,4.33
1150,"happy baby,happy female",2.73,2.80
1151,"happy baby,happy girl",3.80,3.47
1152,"happy baby,happy kid",4.20,4.33
1153,"happy baby,happy laugh",2.67,3.00
1154,"happy baby,happy noise",1.93,2.73
1155,"happy baby,happy people",3.60,3.40
1156,"happy baby,happy voice",2.40,2.53
1157,"happy baby,happy woman",3.33,3.07
1158,"happy cartoon,happy baby",1.80,2.00
1159,"happy cartoon,happy child",2.07,2.00
1160,"happy cartoon,happy female",1.87,2.00
1161,"happy cartoon,happy girl",2.20,1.93
1162,"happy cartoon,happy kid",2.27,2.20
1163,"happy cartoon,happy laugh",1.87,1.93
1164,"happy cartoon,happy noise",1.60,1.87
1165,"happy cartoon,happy people",2.00,1.93
1166,"happy cartoon,happy person",2.13,2.20
1167,"happy cartoon,happy vocal",1.80,2.00
1168,"happy cartoon,happy voice",1.80,1.93
1169,"happy cartoon,happy woman",2.00,2.00
1170,"happy child,happy girl",4.27,4.27
1171,"happy child,happy kid",4.80,4.87
1172,"happy child,happy laugh",2.20,2.93
1173,"happy child,happy people",3.93,3.73
1174,"happy child,happy voice",2.27,2.73
1175,"happy child,happy woman",3.67,3.20
1176,"happy female,happy child",3.40,3.47
1177,"happy female,happy girl",4.67,4.67
1178,"happy female,happy kid",3.40,3.47
1179,"happy female,happy laugh",2.40,2.93
1180,"happy female,happy people",3.87,3.73
1181,"happy female,happy voice",2.47,3.13
1182,"happy female,happy woman",4.93,4.87
1183,"happy girl,happy laugh",2.80,3.13
1184,"happy girl,happy people",4.00,3.47
1185,"happy girl,happy woman",4.53,4.60
1186,"happy kid,happy girl",4.47,4.13
1187,"happy kid,happy laugh",2.73,3.07
1188,"happy kid,happy people",3.80,3.80
1189,"happy kid,happy voice",2.33,2.93
1190,"happy kid,happy woman",3.60,3.20
1191,"happy melody,happy music",4.36,4.40
1192,"happy melody,happy piano",2.57,2.93
1193,"happy melody,happy song",4.50,4.53
1194,"happy music,happy piano",2.93,3.13
1195,"happy music,happy song",4.43,4.40
1196,"happy noise,happy child",2.33,2.67
1197,"happy noise,happy female",2.13,2.47
1198,"happy noise,happy girl",2.33,2.60
1199,"happy noise,happy kid",2.33,2.73
1200,"happy noise,happy laugh",3.20,3.33
1201,"happy noise,happy people",2.20,2.47
1202,"happy noise,happy voice",3.67,3.47
1203,"happy noise,happy woman",2.20,2.33
1204,"happy people,happy laugh",2.80,3.07
1205,"happy people,happy woman",4.20,3.87
1206,"happy person,happy baby",4.00,4.07
1207,"happy person,happy child",4.20,4.33
1208,"happy person,happy female",4.33,4.53
1209,"happy person,happy girl",4.27,4.29
1210,"happy person,happy kid",4.13,4.21
1211,"happy person,happy laugh",2.33,3.21
1212,"happy person,happy noise",1.73,2.53
1213,"happy person,happy people",4.73,4.93
1214,"happy person,happy vocal",2.60,3.00
1215,"happy person,happy voice",2.47,3.21
1216,"happy person,happy woman",4.40,4.57
1217,"happy song,happy piano",2.86,2.80
1218,"happy vocal,happy baby",2.33,2.93
1219,"happy vocal,happy child",2.40,3.07
1220,"happy vocal,happy female",2.40,3.14
1221,"happy vocal,happy girl",1.93,3.07
1222,"happy vocal,happy kid",1.93,2.87
1223,"happy vocal,happy laugh",3.27,3.40
1224,"happy vocal,happy noise",4.00,3.71
1225,"happy vocal,happy people",2.13,2.87
1226,"happy vocal,happy voice",4.67,4.67
1227,"happy vocal,happy woman",2.00,3.00
1228,"happy voice,happy girl",2.80,3.20
1229,"happy voice,happy laugh",3.73,3.60
1230,"happy voice,happy people",2.93,3.27
1231,"happy voice,happy woman",2.93,3.33
1232,"happy woman,happy laugh",2.47,3.07
1233,"heavy breath,heavy breathe",4.87,4.87
1234,"heavy breath,heavy door",1.00,1.13
1235,"heavy breath,heavy footstep",1.53,1.40
1236,"heavy breath,heavy growl",2.40,2.07
1237,"heavy breath,heavy gun",1.13,1.27
1238,"heavy breath,heavy machine",1.13,1.20
1239,"heavy breath,heavy noise",1.93,2.27
1240,"heavy breath,heavy punch",1.33,1.47
1241,"heavy breath,heavy rain",1.20,1.40
1242,"heavy breath,heavy robot",1.13,1.20
1243,"heavy breath,heavy storm",1.27,1.27
1244,"heavy breath,heavy thunder",1.33,1.40
1245,"heavy breath,heavy voice",2.40,2.13
1246,"heavy breathe,heavy door",1.13,1.27
1247,"heavy breathe,heavy gun",1.13,1.40
1248,"heavy breathe,heavy thunder",1.53,1.60
1249,"heavy door,heavy thunder",1.13,1.27
1250,"heavy drum,heavy bass",2.57,2.40
1251,"heavy drum,heavy guitar",1.64,1.67
1252,"heavy footstep,heavy breathe",1.80,1.20
1253,"heavy footstep,heavy door",1.40,1.13
1254,"heavy footstep,heavy footstep",5.00,5.00
1255,"heavy footstep,heavy growl",1.47,1.20
1256,"heavy footstep,heavy gun",1.07,1.07
1257,"heavy footstep,heavy machine",1.33,1.20
1258,"heavy footstep,heavy punch",1.87,1.47
1259,"heavy footstep,heavy robot",1.53,1.33
1260,"heavy footstep,heavy storm",1.47,1.27
1261,"heavy footstep,heavy thunder",1.53,1.47
1262,"heavy footstep,heavy voice",1.80,1.33
1263,"heavy growl,heavy breathe",2.53,2.07
1264,"heavy growl,heavy door",1.13,1.20
1265,"heavy growl,heavy gun",1.20,1.40
1266,"heavy growl,heavy thunder",1.87,1.80
1267,"heavy guitar,heavy bass",3.36,3.07
1268,"heavy gun,heavy door",1.53,1.27
1269,"heavy gun,heavy gun",4.73,5.00
1270,"heavy gun,heavy thunder",1.33,1.73
1271,"heavy machine,heavy breathe",1.27,1.20
1272,"heavy machine,heavy door",1.80,1.60
1273,"heavy machine,heavy growl",1.27,1.53
1274,"heavy machine,heavy gun",2.40,1.87
1275,"heavy machine,heavy machine",5.00,5.00
1276,"heavy machine,heavy punch",1.20,1.33
1277,"heavy machine,heavy robot",3.60,3.20
1278,"heavy machine,heavy thunder",1.33,1.33
1279,"heavy noise,heavy breathe",2.47,2.07
1280,"heavy noise,heavy door",1.27,1.60
1281,"heavy noise,heavy footstep",2.47,2.60
1282,"heavy noise,heavy growl",3.47,3.13
1283,"heavy noise,heavy gun",1.73,1.67
1284,"heavy noise,heavy machine",1.60,2.20
1285,"heavy noise,heavy noise",5.00,5.00
1286,"heavy noise,heavy punch",1.20,1.53
1287,"heavy noise,heavy robot",1.20,1.47
